GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProfileServiceFb,com.capgemini.exception,ProfileIdNotFound,7,0,0,0,4,0,2,0,2,0
ProfileServiceFb,com.capgemini.exception,ProfileDataAlreadyExistsException,7,0,0,0,4,0,2,0,2,0
ProfileServiceFb,com.capgemini.exception,GlobalExceptionHandler,14,3,0,0,2,1,2,1,2,1
ProfileServiceFb,com.capgemini.controller,ProfileController,23,17,0,0,5,3,3,3,3,3
ProfileServiceFb,com.capgemini.service,ProfileServiceImpl,83,20,7,1,21,4,7,3,3,3
ProfileServiceFb,com.capgemini.model,Profile,0,72,0,0,0,21,0,11,0,11
ProfileServiceFb,com.capgemini,ProfileServiceFbApplication,5,3,0,0,2,1,1,1,1,1
