GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MarketPlaceServiceFb,com.capgemini.exception,MarketPlaceDataAlreadyExistsException,7,0,0,0,4,0,2,0,2,0
MarketPlaceServiceFb,com.capgemini.exception,GlobalExceptionHandler,14,3,0,0,2,1,2,1,2,1
MarketPlaceServiceFb,com.capgemini.exception,MarketPlaceIdNotFound,7,0,0,0,4,0,2,0,2,0
MarketPlaceServiceFb,com.capgemini.controller,MarketPlaceController,23,17,0,0,5,3,3,3,3,3
MarketPlaceServiceFb,com.capgemini.service,MarketPlaceServiceImpl,83,20,7,1,20,4,7,3,3,3
MarketPlaceServiceFb,com.capgemini.model,MarketPlace,0,56,0,0,0,21,0,11,0,11
MarketPlaceServiceFb,com.capgemini,MarketPlaceServiceFbApplication,5,3,0,0,2,1,1,1,1,1
